,Python,MATLAB
Set a variable,a = 1,a = 1
Print/Display,disp(a),print(a)
Basic math,a + a,a + a
Pi,math.pi\npi,pi
Exponent,math.exp(1),exp(1)
Array,"numpy.array([1, 2, 3])",[1 2 3]
Matrix,"numpy.matrix([1, 2; 3, 4])",[1 2; 3 4]
Transpose,numpy.transpose\ntranspose(matrix),matrix'
,numpy.arrange(10),1:10
,"numpy.arrange(1,10,.5)",1:.5:10
Matrix Addition,matrix + matrix, matrix + matrix
Matrix Multiplication,"numpy.multiply(matrix,matrix)",matrix * matrix
Dot Multiplication,matrix * matrix,matrix .* matrix
Column-wise Sum,matrix.sum(axis=0),"sum(matrix)"
Row-wise Sum,matrix.sum(axis=1),"sum(matrix,2)"
Complete Sum,matrix.sum(),sum(sum(matrix))
Diagonal of a Matrix,matrix.diagonal(),diag(matrix)
Length of a Matrix,len(matrix) or numpy.size(matrix),length(matrix)
Size of a Matrix,numpy.shape(matrix),size(matrix)
Flip Left to Right,numpy.fliplr(matrix),fliplr(matrix)
Flip Up to Down,numpy.flipud(matrix),flipud(matrix)
Zeros Matrix,"numpy.zeros([2,2])","zeros(2,2)"
Ones Matrix,"numpy.ones([2,2])","ones(2,2)"
Eye Matrix,numpy.eye(4),eye(4)
Random Matrix,"numpy.random.rand(2,2)","rand(2,2)"
Random Normal Matrix,"numpy.random.randn(2,2)","randn(2,2)"
Plotting,,
Functions,,
If,if (1 == 1): print(1),if (1 == 1); disp(1); end
For Loop,for a in numpy.arange(10): print(1),for n = 1:10; disp(1); end
While Loop,while (1 == 1): print(1),while 1 == 1; disp(1); end
